date,action_id,action_type,ratio,price,shares_traded,fee_paid,cash,holdings,total_assets
2016-09-15,5,BUY,0.62,61.59000015258789,0.0001845826022872643,0.000362475581979338,0.0071832526622357,1541.3968162609594,94934.63733196363
2016-09-16,5,BUY,0.62,62.540000915527344,6.907592091920378e-05,0.0001377407211521485,0.0027296360116495656,1541.3968853368804,96398.9653497955
2016-09-19,5,BUY,0.62,62.9900016784668,2.606132807159156e-05,5.234147403781641e-05,0.001037261684426835,1541.3969113982084,97092.59507341837
2016-09-20,5,BUY,0.62,62.86000061035156,9.923785682985908e-06,1.9889760134370238e-05,0.0003941594400821973,1541.3969213219941,96892.211809254
2016-09-21,5,BUY,0.62,62.70000076293945,3.7806617001479026e-06,7.5581088510606905e-06,0.00014978058723123496,1541.3969251026558,96645.58852970964
2016-09-22,2,BUY,0.35750000000000004,63.56999969482422,8.170545697794296e-07,1.6560791732525724e-06,9.623402729606846e-05,1541.3969259197104,97986.60220655301
2016-09-23,2,BUY,0.35750000000000004,63.52000045776367,5.253707513475092e-07,1.0640308688147774e-06,6.183036253772399e-05,1541.3969264450811,97909.53353521743
2016-09-26,5,BUY,0.62,62.75,5.925860477873357e-07,1.1856131373213053e-06,2.3495537764335115e-05,1541.3969270376672,96722.65719510915
2016-09-27,5,BUY,0.62,62.310001373291016,2.2677295419271104e-07,4.50532992182096e-07,8.928304350447344e-06,1541.3969272644401,96044.44466356211
2016-09-28,5,BUY,0.62,63.310001373291016,8.481265467707999e-08,1.712025370291965e-07,3.392755653169991e-06,1541.3969273492528,97585.8415906605
2016-09-29,5,BUY,0.62,63.45000076293945,3.2157686291611753e-08,6.505696407109468e-08,1.2892471482045964e-06,1541.3969273814105,97801.63621963226
2016-09-30,5,BUY,0.62,67.44999694824219,1.1495330909383483e-08,2.472164634701597e-08,4.899139163177467e-07,1541.3969273929058,103967.21804917131
2016-10-03,5,BUY,0.62,68.5,4.301227818359621e-09,9.39422561186607e-09,1.8616728820074373e-07,1541.396927397207,105585.68952689484
2016-10-04,5,BUY,0.62,67.11000061035156,1.6682406567269936e-09,3.5698057325091063e-09,7.074356951628262e-08,1541.3969273988753,103443.14873860328
2016-10-05,5,BUY,0.62,66.68000030517578,6.380105332937092e-10,1.3565261783534606e-09,2.6882556416187396e-08,1541.3969273995133,102780.34758942343
2016-10-06,2,BUY,0.35750000000000004,66.83999633789062,1.3938006304670125e-10,2.9723238924083484e-10,1.7272042497400402e-08,1541.3969273996527,103026.96498264592
2016-10-07,5,BUY,0.62,67.54000091552734,1.5370460459962487e-10,3.311958664449974e-10,6.563376149012153e-09,1541.3969273998064,104105.94988778052
2016-10-10,5,BUY,0.62,68.19000244140625,5.7980287238024175e-11,1.2585442924909903e-10,2.4940829366246184e-09,1541.3969273998644,105107.86024257533
2016-10-11,5,BUY,0.62,67.25,2.2282620193436742e-11,4.782468311465763e-11,9.47751515917355e-10,1541.3969273998866,103658.94336764333
2016-10-12,5,BUY,0.62,66.08999633789062,8.640199666842818e-12,1.8173379583569902e-11,3.601455760485949e-10,1541.3969273998953,101870.9172870953
2016-10-13,5,BUY,0.62,66.05999755859375,3.183231456205249e-12,6.905884241756562e-12,1.3685531889846606e-10,1541.3969273998985,101824.67726086132
2016-10-14,5,BUY,0.62,65.69999694824219,1.3642420526593924e-12,2.624236011867493e-12,5.200502118141711e-11,1541.3969273998998,101269.77342620336
2016-10-17,5,BUY,0.62,65.69999694824219,4.547473508864641e-13,9.972096845096475e-13,1.97619080489385e-11,1541.3969273999003,101269.77342620335
2016-10-18,5,BUY,0.62,65.19000244140625,2.2737367544323206e-13,3.789396801136661e-13,7.50952505859663e-12,1541.3969273999005,100483.66946037562
2016-10-19,5,BUY,0.62,66.0999984741211,0.0,1.4399707844319311e-13,2.8536195222667196e-12,1541.3969273999005,101886.33454914836
2016-10-20,5,BUY,0.62,65.79000091552734,0.0,5.471888980841339e-14,1.0843754184613534e-12,1541.3969273999005,101408.50526483048
2016-10-21,5,BUY,0.62,67.33999633789062,0.0,2.0793178127197085e-14,4.1206265901531425e-13,1541.3969273999005,103797.66344634516
2016-10-24,5,BUY,0.62,67.93000030517578,0.0,7.901407688334892e-15,1.5658381042581943e-13,1541.3969273999005,104707.09374867225
2016-10-25,5,BUY,0.62,68.05999755859375,0.0,3.0025349215672593e-15,5.950184796181138e-14,1541.3969273999005,104907.47111566113
2016-10-26,5,BUY,0.62,67.70999908447266,0.0,1.1409632701955585e-15,2.261070222548832e-14,1541.3969273999005,104367.98454305623
2016-10-27,5,BUY,0.62,68.19999694824219,0.0,4.335660426743121e-16,8.592066845685562e-15,1541.3969273999005,105123.2657447031
2016-10-28,5,BUY,0.62,70.08999633789062,0.0,1.647550962162386e-16,3.264985401360513e-15,1541.3969273999005,108036.50499669489
2016-10-31,5,BUY,0.62,68.4000015258789,0.0,6.260693656217067e-17,1.2406944525169949e-15,1541.3969273999005,105431.55218613826
2016-11-01,5,BUY,0.62,68.72000122070312,0.0,2.379063589362485e-17,4.71463891956458e-16,1541.3969273999005,105924.79873250921
2016-11-02,5,BUY,0.62,68.33999633789062,0.0,9.040441639577442e-18,1.7915627894345405e-16,1541.3969273999005,105339.06037374506
2016-11-03,5,BUY,0.62,67.08999633789062,0.0,3.4353678230394277e-18,6.807938599851255e-17,1541.3969273999005,103412.31421449519
2016-11-04,5,BUY,0.62,66.94999694824219,0.0,1.305439772754983e-18,2.587016667943477e-17,1541.3969273999005,103196.51958545322
2016-11-07,5,BUY,0.62,66.7300033569336,0.0,4.960671136468934e-19,9.830663338185215e-18,1541.3969273999005,102857.4221397625
2016-11-08,5,BUY,0.62,68.45999908447266,0.0,1.885055031858196e-19,3.7356520685103814e-18,1541.3969273999005,105524.03223860616
2016-11-09,5,BUY,0.62,68.2699966430664,0.0,7.163209121061144e-20,1.419547786033945e-18,1541.3969273999005,105231.16305922408
2016-11-10,5,BUY,0.62,67.87999725341797,0.0,2.7220194660032345e-20,5.39428158692899e-19,1541.3969273999005,104630.01919833214
2016-11-11,5,BUY,0.62,66.30999755859375,0.0,1.0343673970812291e-20,2.049827003033016e-19,1541.3969273999005,102210.02649271132
2016-11-14,5,BUY,0.62,66.87999725341797,0.0,3.93059610890867e-21,7.789342611525462e-20,1541.3969273999005,103088.62227093225
